,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads
53,cl-python,metawilm/cl-python,,implemented-in-other-languages,,{},,,,,,,,,,,,,,,,,12.0,0,False,,,,,,,
54,edge-python,dylan-sutton-chavez/edge-python,['written-in-rust'],implemented-in-other-languages,,{},,,,,,,,,,,,,,,,,,0,False,,,,,,,
55,minipy,xupingmao/minipy,['written-in-c'],implemented-in-other-languages,,{},,,,,,,,,,,,,,,,,7.0,0,False,,,,,,,
56,mypyc,mypyc/mypyc,['written-in-python'],compilers,,{},,,,,,,,,,,,,,,,,20.0,0,False,,,,,,,
57,prometeo,zanellia/prometeo,['written-in-python'],compilers,,{},,,,,,,,,,,,,,,,,6.0,0,False,,,,2.0,2.0,,
58,pytocs,uxmal/pytocs,['written-in-csharp'],compilers,,{},,,,,,,,,,,,,,,,,11.0,0,False,,,,,,,
59,rusthon,rusthon/Rusthon,['written-in-python'],compilers,,{},,,,,,,,,,,,,,,,,14.0,0,False,,,,,,,
60,kuroko,kuroko-lang/kuroko,['written-in-c'],supersets,,{},,,,,,,,,,,,,,,,,2.0,-1,False,3.0,,,,,,
61,makrell,hcholm/makrell-py,['written-in-python'],supersets,,{},,,,,,,,,,,,,,,,,2.0,-1,False,3.0,,,2.0,2.0,,
62,pytra,yaneurao/Pytra,['written-in-python'],compilers,,{},,,,,,,,,,,,,,,,,2.0,-1,False,3.0,,,,,,
